INAME	INUM	CAUSE	REP_DATE	START_DATE	IMT_TYPE	STATE	AREA	P_CNT	EXP_CTN	LAT	LONG	COUNTY
THOMAS	CA-VNC-103156	Undetermined	12-Dec-17	05-Dec-17	1	California	231700	20.0	24-Dec-17	34.429	-119.100	Ventura
LILAC 5	CA-MVU-024612	Not Reported	12-Dec-17	07-Dec-17	1	California	4100	92.0	21-Dec-17	33.349	-117.191	San Diego
SKIRBALL	CA-LFD-030179	Not Reported	12-Dec-17	06-Dec-17		California	422	85.0	17-Dec-17	34.082	-118.475	Los Angeles
CREEK	CA-LAC-362189	Undetermined	12-Dec-17	05-Dec-17		California	15619	98.0	23-Dec-17	34.334	-118.338	Los Angeles
RYE	CA-LAC-362441	Undetermined	12-Dec-17	05-Dec-17		California	6049	96.0	15-Dec-17	34.453	-118.581	Los Angeles
LEGION LAKE	SD-SDS-170967	Human	12-Dec-17	11-Dec-17	2	South Dakota	2500	0.0	16-Dec-17	43.762	-103.448	Custer
WINDSPLITTER	CO-BAX-001991	Human	12-Dec-17	08-Dec-17		Colorado	3134	0.0	10-Dec-17	37.552	-103.004	Baca
WEST SPRING MOUNTAIN	OK-ECU-170299	Not Reported	12-Dec-17	11-Dec-17		Oklahoma	245	79.0	11-Dec-17	34.829	-95.154	Latimer
