INAME	INUM	CAUSE	REP_DATE	START_DATE	IMT_TYPE	STATE	AREA	P_CNT	EXP_CTN	LAT	LONG	COUNTY
BOTELER	NC-NCF-160247	Undetermined	09-Nov-16	25-Oct-16	1	North Carolina	3504	12.0	20-Nov-16	35.068	-83.655	Clay
TELLICO	NC-NCF-160280	Human	08-Nov-16	03-Nov-16	1	North Carolina	5160	18.0	20-Nov-16	35.274	-83.560	Macon
FEREBEE MEMORIAL	NC-NCF-160299	Undetermined	08-Nov-16	05-Nov-16	1	North Carolina	1605	28.0	30-Nov-16	35.303	-83.653	Swain
DICK'S CREEK	NC-NCF-160242	Human	08-Nov-16	23-Oct-16	1	North Carolina	728	85.0	14-Nov-16	35.399	-83.260	Jackson
KNOB	NC-NCF-160275	Human	08-Nov-16	02-Nov-16	1	North Carolina	1130	80.0	10-Nov-16	35.110	-83.542	Macon
CLIFFSIDE	NC-NCF-160278	Human	08-Nov-16	03-Nov-16	1	North Carolina	101	98.0	10-Nov-16	35.078	-83.242	Macon
PARTY ROCK	NC-NCS-160031	Undetermined	09-Nov-16	05-Nov-16		North Carolina	435	15.0	01-Dec-16	35.446	-82.212	Rutherford
OLD ROUGHY	NC-NCF-160319	Human	09-Nov-16	09-Nov-16	2	North Carolina	300	1.0	05-Dec-16	35.371	-83.859	Graham
AVEY BRANCH	NC-NCF-160293	Undetermined	09-Nov-16	04-Nov-16	2	North Carolina	1200	17.0	25-Nov-16	35.373	-83.897	Graham
MAPLE SPRINGS	NC-NCF-160295	Undetermined	08-Nov-16	05-Nov-16	2	North Carolina	3914	10.0	05-Dec-16	35.398	-83.908	Graham
DOBSON 3	NC-ECA-000031	Human	09-Nov-16	08-Nov-16	1	North Carolina	150	15.0	18-Nov-16	35.497	-83.245	Jackson
WASHINGTON'S CREEK	NC-ECA-000029	Human	09-Nov-16	08-Nov-16		North Carolina	180	70.0	11-Nov-16	35.446	-83.235	Jackson
FLIPPERS BEND	TN-TNS-CD0016	Not Reported	09-Nov-16	Not Reported		Not Reported	800	Not Reported	Not Reported	35.235	-85.264	Not Reported
RAVEN ROCK	VA-VAF-000255	Undetermined	09-Nov-16	02-Nov-16		Virginia	2402	35.0	18-Nov-16	37.182	-82.593	Wise
ROUGH RIDGE	GA-CHF-160052	Natural	08-Nov-16	16-Oct-16	2	Georgia	7207	20.0	30-Nov-16	34.897	-84.564	Fannin
