INAME	INUM	CAUSE	REP_DATE	START_DATE	IMT_TYPE	STATE	AREA	P_CNT	EXP_CTN	LAT	LONG	COUNTY
CHIMNEY	CA-SLU-008948	Undetermined	14-Aug-16	13-Aug-16	1	California	41675	41.0	03-Sep-16	35.670	-121.004	San Luis Obispo
CEDAR	CA-SQF-002595	Undetermined	17-Aug-16	16-Aug-16	1	California	23239	20.0	15-Sep-16	35.745	-118.584	Kern
SOBRANES	CA-BEU-003422	Human	10-Aug-16	22-Jul-16	1	California	88654	60.0	30-Sep-16	36.461	-121.901	Monterey
REY	CA-LPF-002809	Undetermined	18-Aug-16	18-Aug-16	1	California	31505	39.0	31-Aug-16	34.546	-119.805	Santa Barbara
HENRYS CREEK	ID-8BN-003174	Undetermined	21-Aug-16	21-Aug-16	2	Idaho	51000	37.0	05-Sep-16	43.374	-111.947	Bonneville
PIONEER	ID-BOF-000539	Undetermined	10-Aug-16	18-Jul-16	1	Idaho	101922	53.0	15-Oct-16	43.950	-115.762	Boise
BERRY	WY-GTP-001621	Natural	21-Aug-16	25-Jul-16	2	Wyoming	12279	0.0	01-Oct-16	44.021	-110.786	Teton
TIE	ID-CTF-003181	Undetermined	22-Aug-16	23-Aug-16	2	Idaho	1242	25.0	15-Sep-16	43.556	-111.248	Bonneville
PETERSON HOLLOW	UT-UWF-000694	Undetermined	23-Aug-16	21-Aug-16		Utah	1000	10.0	08-Sep-16	41.994	-111.573	Cache
SAND LEDGES	UT-SCS-006211	Undetermined	20-Aug-16	20-Aug-16		Utah	3100	100.0	25-Aug-16	38.684	-111.852	Sevier
TOPONCE CREEK	ID-EIS-003157	Natural	15-Aug-16	15-Aug-16		Idaho	265	91.0	27-Aug-16	42.897	-112.129	Caribou
I84 MM 239	ID-TFD-000246	Undetermined	24-Aug-16	24-Aug-16		Idaho	1260	100.0	24-Aug-16	42.386	-113.285	Cassia
ROCK HILL	NV-WID-020190	Not Reported	20-Aug-16	Not Reported		Not Reported	1738	Not Reported	Not Reported	40.669	-117.852	Not Reported
