INAME	INUM	CAUSE	REP_DATE	START_DATE	IMT_TYPE	STATE	AREA	P_CNT	EXP_CTN	LAT	LONG	COUNTY
STARBUCK	OK-OKS-000527	Undetermined	09-Mar-17	07-Mar-17	1	Oklahoma	623000	63.0	12-Mar-17	36.859	-100.129	Beaver
LEE WILLIAMS RD	FL-FLS-170088	Human	09-Mar-17	05-Mar-17	2	Florida	7500	85.0	14-Mar-17	26.130	-81.581	Collier
PERRYTON	TX-TXS-001012	Human	09-Mar-17	06-Mar-17		Texas	315156	100.0	12-Mar-17	36.086	-100.531	Lipscomb
283	OK-OKS-000528	Undetermined	09-Mar-17	07-Mar-17		Oklahoma	72000	63.0	12-Mar-17	36.710	-99.837	Harper
SELMAN	OK-OKS-000526	Undetermined	09-Mar-17	07-Mar-17		Oklahoma	48000	63.0	12-Mar-17	36.641	-99.469	Harper
MISLAP	OK-OSA-017026	Human	09-Mar-17	03-Mar-17		Oklahoma	9636	70.0	25-Mar-17	36.328	-96.296	Osage
SPOCOGEE	OK-OMA-017035	Human	09-Mar-17	01-Mar-17		Oklahoma	6478	100.0	15-Mar-17	36.048	-96.319	Creek
LOST CREEK	OK-OMA-017037	Not Reported	09-Mar-17	Not Reported		Not Reported	2135	Not Reported	Not Reported	35.390	-96.139	Not Reported
IRATE	OK-OMA-017041	Not Reported	09-Mar-17	Not Reported		Not Reported	2350	Not Reported	Not Reported	35.095	-96.159	Not Reported
BUNCH MT	OK-NEU-170161	Not Reported	09-Mar-17	Not Reported		Not Reported	1100	Not Reported	Not Reported	35.725	-94.818	Not Reported
TRAIL	FL-FLS-180096	Not Reported	09-Mar-17	Not Reported		Not Reported	1065	Not Reported	Not Reported	25.766	-80.417	Not Reported
STAPLES ROAD	OK-SEU-170170	Not Reported	08-Mar-17	Not Reported		Not Reported	940	Not Reported	Not Reported	34.660	-95.892	Not Reported
SPRING CREEK FARM	OK-WEA-017034	Human	09-Mar-17	03-Mar-17		Oklahoma	687	100.0	08-Mar-17	35.076	-96.619	Seminole
TERRITORY	OK-OKS-170024	Not Reported	09-Mar-17	Not Reported		Not Reported	500	Not Reported	Not Reported	34.521	-98.050	Not Reported
TUCKER	OK-WEA-017036	Human	08-Mar-17	03-Mar-17		Oklahoma	500	75.0	15-Mar-17	35.050	-96.608	Seminole
CONWAY RANCH	OK-ECU-170169	Not Reported	08-Mar-17	Not Reported		Not Reported	497	Not Reported	Not Reported	34.952	-95.449	Not Reported
BADCOCK  GRUB RD	FL-FLS-150125	Not Reported	09-Mar-17	Not Reported		Not Reported	400	Not Reported	Not Reported	26.825	-81.664	Not Reported
WATSIMOIE	OK-OSA-017029	Human	08-Mar-17	08-Mar-17		Oklahoma	314	75.0	20-Mar-17	36.351	-96.368	Osage
FENTON	KY-LBF-170036	Not Reported	09-Mar-17	Not Reported		Not Reported	121	Not Reported	Not Reported	36.776	-88.097	Not Reported
LEFORS EAST	TX-TXS-001013	Not Reported	09-Mar-17	Not Reported		Not Reported	13500	Not Reported	Not Reported	35.318	-100.539	Not Reported
DUMAS COMPLEX	TX-TXS-001011	Not Reported	09-Mar-17	Not Reported		Not Reported	28800	Not Reported	Not Reported	35.319	-101.831	Not Reported
DAIRY FARM	OK-OMA-017040	Not Reported	09-Mar-17	Not Reported		Not Reported	3265	Not Reported	Not Reported	35.201	-96.042	Not Reported
LATIMAR	OK-OKS-170022	Not Reported	09-Mar-17	Not Reported		Not Reported	2412	Not Reported	Not Reported	35.906	-98.179	Not Reported
ATOKA WMA	OK-SEU-170167	Not Reported	09-Mar-17	Not Reported		Not Reported	2147	Not Reported	Not Reported	34.530	-95.960	Not Reported
